Name,Platform,Year_of_Release,Genre,Publisher,Global_Sales,NA_Sales,EU_Sales,JP_Sales
Looney Tunes: Space Race,PS2,2002,Racing,Infogrames,0.2,0,0,0.63
Shaman King: Spirit of Shamans,PS,2002,Action,Namco Bandai Games,0.2,0.37,0.2,0
The Fairly Odd Parents: Enter the Cleft,GBA,2002,Platform,THQ,0.2,0.15,0.44,0
The Thing,XB,2002,Adventure,Vivendi Games,0.2,0,0,0.63
Baldur's Gate: Dark Alliance,XB,2002,Role-Playing,Virgin Interactive,0.2,0.53,0.02,0
UFC: Tapout,XB,2002,Fighting,Crave Entertainment,0.2,0.45,0.17,0
Dexter's Lab Chess Challenge,GBA,2002,Misc,BAM! Entertainment,0.2,0.49,0.13,0
Big Mutha Truckers,XB,2002,Racing,Empire Interactive,0.19,0.32,0.05,0.25
Dinotopia: The Timestone Pirates,GBA,2002,Action,TDK Core,0.19,0.46,0.09,0
NCAA Final Four 2003,PS2,2002,Sports,Sony Computer Entertainment,0.19,0.23,0.09,0.27
Breath of Fire: Dragon Quarter,PS2,2002,Role-Playing,Capcom,0.19,0,0,0.63
Disney's Magical Mirror Starring Mickey Mouse,GC,2002,Adventure,Nintendo,0.19,0.22,0.34,0
Tales of the World: Narikiri Dungeon 2,GBA,2002,Role-Playing,Namco Bandai Games,0.19,0.25,0.27,0
2002 FIFA World Cup,XB,2002,Sports,Electronic Arts,0.19,0.46,0.11,0
Frogger's Adventures 2: The Lost Wand,GBA,2002,Adventure,Konami Digital Entertainment,0.19,0.4,0.23,0
SSX Tricky,GBA,2002,Sports,Electronic Arts,0.19,0.12,0.09,0.38
Lunar Legend,GBA,2002,Role-Playing,Media Rings,0.19,0.35,0.17,0
Gungrave,PS2,2002,Shooter,Activision,0.19,0.58,0.04,0
Transworld Surf,PS2,2002,Sports,Atari,0.19,0.07,0.42,0
The Scorpion King: Sword of Osiris,GBA,2002,Action,Vivendi Games,0.19,0.22,0.2,0.16
Sega GT 2002,XB,2002,Racing,Sega,0.19,0.31,0.24,0
Blood Omen 2,XB,2002,Action,Eidos Interactive,0.19,0.38,0.2,0
La Pucelle: Tactics,PS2,2002,Role-Playing,Tecmo Koei,0.19,0,0,0.59
Star Wars: The Clone Wars & Tetris Worlds,XB,2002,Misc,Microsoft Game Studios,0.19,0.38,0.19,0
Ty the Tasmanian Tiger,XB,2002,Platform,Electronic Arts,0.18,0.11,0.03,0.15
Monopoly Party,XB,2002,Misc,Infogrames,0.18,0.18,0.06,0.34
Atari Anniversary Advance,GBA,2002,Misc,Atari,0.18,0.25,0.24,0
Bloody Roar: Primal Fury,GC,2002,Fighting,Activision,0.18,0.35,0.24,0
Gauntlet: Dark Legacy,GC,2002,Action,Midway Games,0.18,0.17,0.39,0
Commandos 2: Men of Courage,PS2,2002,Strategy,Eidos Interactive,0.18,0.35,0.24,0
Fireblade,PS2,2002,Action,Midway Games,0.18,0.36,0.16,0
K-1 World Grand Prix,PS2,2002,Sports,Konami Digital Entertainment,0.18,0.48,0.13,0
Virtua Tennis,GBA,2002,Sports,Atari,0.18,0.34,0.23,0
NFL 2K2,XB,2002,Sports,Sega,0.18,0.58,0,0
SEGA Bass Fishing Duel,PS2,2002,Sports,Sega,0.17,0.3,0.22,0.01
Mark Davis Pro Bass Challenge,PS2,2002,Sports,Natsume,0.17,0.43,0.14,0
Rugrats: Royal Ransom,GC,2002,Platform,THQ,0.17,0.36,0.21,0
Smash Court Tennis Pro Tournament,PS2,2002,Sports,Sony Computer Entertainment,0.17,0.3,0,0.32
Shrek Extra Large,GC,2002,Platform,TDK Mediactive,0.17,0,0,0.62
Gunvalkyrie,XB,2002,Shooter,Infogrames,0.17,0.38,0.22,0
Disney Golf,PS2,2002,Sports,Electronic Arts,0.17,0.4,0.2,0
Gauntlet: Dark Legacy,XB,2002,Action,Midway Games,0.17,0.35,0.24,0
Lost Kingdoms,GC,2002,Role-Playing,Activision,0.17,0.16,0.13,0.29
Matchbox Cross Town Heroes,GBA,2002,Racing,THQ,0.17,0.35,0.24,0
Wolfenstein 3D,GBA,2002,Shooter,BAM! Entertainment,0.17,0.58,0,0
Cubivore: Survival of the Fittest,GC,2002,Adventure,Nintendo,0.17,0.48,0.13,0
Taz Wanted,PS2,2002,Platform,Atari,0.16,0.31,0.23,0.03
PoPoLoCrois: Hajimari no Bouken,PS2,2002,Role-Playing,Sony Computer Entertainment,0.16,0.58,0.03,0
Hot Wheels Velocity X,GBA,2002,Racing,THQ,0.16,0.47,0.13,0
Robotech: Battlecry,GC,2002,Shooter,TDK Mediactive,0.16,0.16,0.34,0.01
Zapper: One Wicked Cricket!,PS2,2002,Platform,Infogrames,0.16,0.3,0.24,0
Dr. Muto,PS2,2002,Platform,Midway Games,0.16,0.33,0.2,0
Shadow Man: 2econd Coming,PS2,2002,Adventure,Acclaim Entertainment,0.16,0.29,0.27,0
Silent Scope 3,PS2,2002,Shooter,Konami Digital Entertainment,0.16,0.19,0.26,0.11
NASCAR Heat 2002,GBA,2002,Racing,Infogrames,0.16,0.41,0.16,0
NBA 2K3,GC,2002,Sports,Sega,0.16,0.27,0.25,0
He-Man: Power of Grayskull,GBA,2002,Action,TDK Mediactive,0.16,0.38,0.1,0.12
Mat Hoffman's Pro BMX 2,GBA,2002,Sports,Activision,0.16,0.37,0.22,0
Knockout Kings 2003,GC,2002,Sports,Electronic Arts,0.15,0.4,0.2,0
The Terminator: Dawn of Fate,XB,2002,Action,Atari,0.15,0.28,0.24,0
Serious Sam,XB,2002,Shooter,Take-Two Interactive,0.15,0.34,0.23,0
Top Gun: Combat Zones,GC,2002,Simulation,Titus,0.15,0.3,0.24,0
All-Star Baseball 2003,GC,2002,Sports,Acclaim Entertainment,0.15,0.58,0.03,0
Rocky,XB,2002,Fighting,Rage Software,0.15,0.35,0.2,0.01
All-Star Baseball 2003,GBA,2002,Sports,Acclaim Entertainment,0.15,0.21,0.14,0.23
Street Fighter Alpha 3,GBA,2002,Fighting,Capcom,0.15,0.3,0.24,0
BMX XXX,PS2,2002,Sports,Acclaim Entertainment,0.15,0.28,0.29,0
MLB SlugFest 20-03,GC,2002,Sports,Midway Games,0.15,0.35,0.21,0
Barbarian,PS2,2002,Fighting,Titus,0.14,0,0,0.62
Tennis no Oji-Sama: Aim at The Victory!,GBA,2002,Sports,Konami Digital Entertainment,0.14,0.48,0.12,0
Doshin the Giant,GC,2002,Simulation,Nintendo,0.14,0,0,0.62
Kamen Rider Ryuki,PS,2002,Action,Namco Bandai Games,0.14,0,0,0.62
NCAA College Basketball 2K3,XB,2002,Sports,Sega,0.14,0.3,0.26,0
NFL Blitz 20-03,XB,2002,Sports,Midway Games,0.14,0,0.04,0.57
Pirates: The Legend of Black Kat,PS2,2002,Adventure,Electronic Arts,0.14,0.59,0.03,0
Zapper: One Wicked Cricket!,GBA,2002,Platform,Infogrames,0.14,0.48,0.09,0
Dead to Rights,GC,2002,Shooter,Electronic Arts,0.14,0,0,0.62
World Tour Soccer 2003,PS2,2002,Sports,Sony Computer Entertainment,0.14,0,0,0.62
Baldur's Gate: Dark Alliance,GC,2002,Role-Playing,Virgin Interactive,0.14,0.59,0.02,0
The Operative: No One Lives Forever,PS2,2002,Shooter,Electronic Arts,0.14,0,0,0.58
Ecco the Dolphin: Defender of the Future,PS2,2002,Adventure,Sony Computer Entertainment,0.14,0.4,0.16,0
Gyakuten Saiban 2,GBA,2002,Action,Capcom,0.14,0.3,0.25,0
Micro Machines,PS2,2002,Racing,Atari,0.14,0.29,0.26,0
Enclave,XB,2002,Adventure,Swing! Entertainment,0.14,0.07,0.41,0
NFL Blitz 20-03,GC,2002,Sports,Midway Games,0.14,0,0.57,0.04
Star Wars: Jedi Power Battles,GBA,2002,Action,THQ,0.14,0.2,0.34,0
Ultimate Muscle - The Kinnikuman Legacy: Legends vs New Generation,GC,2002,Fighting,Namco Bandai Games,0.14,0.17,0.18,0.2
Rayman Arena,GC,2002,Racing,Ubisoft,0.14,0.15,0.36,0.01
4x4 EVO 2,GC,2002,Racing,Vivendi Games,0.14,0.3,0.03,0.25
Shining Soul,GBA,2002,Role-Playing,Atari,0.14,0.56,0,0
Marvel vs. Capcom 2: New Age of Heroes,XB,2002,Fighting,Capcom,0.14,0.56,0,0
LEGO Island Xtreme Stunts,GBA,2002,Racing,LEGO Media,0.14,0,0.04,0
Tomb Raider: The Prophecy,GBA,2002,Action,Ubisoft,0.14,0.46,0.13,0
Salt Lake 2002,PS2,2002,Sports,Eidos Interactive,0.14,0.02,0.02,0.57
Legends of Wrestling,XB,2002,Fighting,Acclaim Entertainment,0.14,0.22,0.27,0.01
Bratz,GBA,2002,Platform,Ubisoft,0.13,0.5,0.07,0
Blade II,XB,2002,Action,Activision,0.13,0.56,0.01,0
Baseball Advance,GBA,2002,Sports,Sega,0.13,0.37,0.19,0
Superman: The Man of Steel,XB,2002,Action,Atari,0.13,0.44,0.16,0
NHL 2003,GC,2002,Sports,Electronic Arts,0.13,0.29,0.02,0.27
Warcraft III: Reign of Chaos,PC,2002,Strategy,Vivendi Games,0.13,0.21,0.29,0.01
Frogger Beyond,GC,2002,Platform,Konami Digital Entertainment,0.13,0.42,0.05,0
RPG Maker II,PS2,2002,Role-Playing,Enterbrain,0.13,0.3,0.23,0
Shrek Super Party,XB,2002,Misc,TDK Mediactive,0.13,0.44,0.16,0
Rally Fusion: Race of Champions,PS2,2002,Racing,Activision,0.13,0.3,0.22,0
NightCaster,XB,2002,Action,Microsoft Game Studios,0.13,0.43,0.12,0
Otogi: Myth of Demons,XB,2002,Action,Sega,0.13,0.18,0.27,0
Legends of Wrestling,GC,2002,Fighting,Acclaim Entertainment,0.13,0.44,0.16,0
Zapper: One Wicked Cricket!,GC,2002,Platform,Infogrames,0.13,0.3,0.23,0
Nobunaga no Yabou: Ranseiki,PS2,2002,Strategy,Tecmo Koei,0.13,0.25,0.22,0
Derby Stallion Advance,GBA,2002,Sports,Enterbrain,0.13,0.21,0.21,0.11
Monopoly Party,GC,2002,Misc,Infogrames,0.13,0,0,0.61
Kelly Slater's Pro Surfer,GBA,2002,Sports,Activision,0.13,0.14,0.34,0
Drome Racers,PS2,2002,Racing,Electronic Arts,0.13,0.34,0.23,0
X-Men: Next Dimension,GC,2002,Fighting,Activision,0.13,0.37,0.21,0
Burnout,XB,2002,Racing,Acclaim Entertainment,0.13,0.34,0.23,0
Quantum Redshift,XB,2002,Racing,Microsoft Game Studios,0.13,0.46,0.1,0
Legends of Wrestling II,XB,2002,Fighting,Acclaim Entertainment,0.13,0.26,0.21,0.05
World Soccer Winning Eleven 2002,PS,2002,Sports,Konami Digital Entertainment,0.13,0.56,0,0
Galidor: Defenders of the Outer Dimension,GBA,2002,Action,Electronic Arts,0.12,0.22,0.22,0.08
Pryzm Chapter One: The Dark Unicorn,PS2,2002,Adventure,TDK Mediactive,0.12,0.09,0.44,0
NHL 2002,GBA,2002,Sports,Electronic Arts,0.12,0.56,0,0
Disney's PK: Out of the Shadows,PS2,2002,Platform,Ubisoft,0.12,0.27,0.1,0.22
Chase: Hollywood Stunt Driver,XB,2002,Racing,BAM! Entertainment,0.12,0.27,0.18,0.09
Sega Soccer Slam,PS2,2002,Sports,Sega,0.12,0.44,0.16,0
NBA 2K2,GC,2002,Sports,Sega,0.12,0.35,0.21,0
Jeremy McGrath Supercross World,GC,2002,Racing,Acclaim Entertainment,0.12,0.56,0,0
Legends of Wrestling II,GC,2002,Fighting,Acclaim Entertainment,0.12,0.44,0.16,0
Jikkyou Powerful Pro Yakyuu 9,GC,2002,Sports,Konami Digital Entertainment,0.12,0.34,0.23,0
King of Colosseum (Red): Shin Nippon x Zen Nippon x Pancrase Disc,PS2,2002,Fighting,Spike,0.12,0.44,0.16,0
Turok: Evolution,GBA,2002,Shooter,Acclaim Entertainment,0.12,0.47,0.12,0
NHL 2K3,XB,2002,Sports,Sega,0.12,0.43,0.16,0
Die Hard: Vendetta,GC,2002,Shooter,NDA Productions,0.12,0.58,0.02,0
F1 2002,PS2,2002,Racing,Electronic Arts,0.12,0.43,0.16,0
SplashDown,XB,2002,Racing,Atari,0.11,0.25,0.29,0
ToeJam & Earl III: Mission to Earth,XB,2002,Action,Sega,0.11,0.5,0.02,0
Phantasy Star Collection,GBA,2002,Role-Playing,Atari,0.11,0.47,0.08,0.01
NBA Jam 2002,GBA,2002,Sports,Acclaim Entertainment,0.11,0.57,0,0
Tom Clancy's Rainbow Six: Rogue Spear,GBA,2002,Shooter,Ubisoft,0.11,0.43,0.16,0
18 Wheeler: American Pro Trucker,GC,2002,Racing,Acclaim Entertainment,0.11,0.21,0.23,0.08
NHL Hitz 20-03,XB,2002,Sports,Midway Games,0.11,0.43,0.16,0
Murakumo: Renegade Mech Pursuit,XB,2002,Shooter,From Software,0.11,0.4,0.15,0
Gun Metal,XB,2002,Shooter,Rage Software,0.11,0.5,0.02,0
BloodRayne,GC,2002,Shooter,Universal Interactive,0.11,0.4,0.1,0.09
InuYasha: A Feudal Fairy Tale,PS,2002,Fighting,Namco Bandai Games,0.11,0.2,0.29,0
Sabrina The Teenage Witch: Potion Commotion,GBA,2002,Action,Ubisoft,0.11,0.3,0.23,0
Home Run King,GC,2002,Sports,Sega,0.11,0.09,0.06,0.42
Disney's Peter Pan: Return to Never Land,GBA,2002,Platform,Ubisoft,0.11,0.42,0.16,0
Capcom vs. SNK 2 EO,GC,2002,Fighting,Capcom,0.11,0,0,0.6
Hot Wheels Velocity X,GC,2002,Racing,THQ,0.11,0.26,0.19,0.07
Contra Advance: The Alien Wars EX,GBA,2002,Shooter,Konami Digital Entertainment,0.11,0.42,0.13,0
Army Men: RTS,PS2,2002,Strategy,3DO,0.11,0.3,0.23,0.02
XXX,GBA,2002,Action,Activision,0.11,0.5,0.02,0
Mobile Light Force 2,PS2,2002,Shooter,Taito,0.11,0.12,0.1,0.34
Ninja Assault,PS2,2002,Shooter,Namco Bandai Games,0.11,0.21,0.14,0.21
Top Angler: Real Bass Fishing,PS2,2002,Sports,Xicat Interactive,0.11,0.33,0.22,0
Outlaw Golf: Nine Holes of Christmas,XB,2002,Sports,Simon & Schuster Interactive,0.11,0.13,0.18,0
X-Men: Next Dimension,XB,2002,Fighting,Activision,0.11,0.3,0.24,0
The Scorpion King: Rise of the Akkadian,GC,2002,Action,Universal Interactive,0.11,0.31,0.23,0
Defender,GC,2002,Misc,Midway Games,0.11,0.29,0.23,0
BMX XXX,XB,2002,Sports,Acclaim Entertainment,0.11,0.5,0.02,0
Reign of Fire,GC,2002,Shooter,BAM! Entertainment,0.11,0,0,0.6
Total Immersion Racing,PS2,2002,Racing,Empire Interactive,0.11,0.29,0.23,0
Space Invaders,GBA,2002,Shooter,Activision,0.11,0.09,0.26,0.23
Gravity Games Bike: Street Vert Dirt,PS2,2002,Sports,Midway Games,0.1,0.37,0.08,0.14
Dropship: United Peace Force,PS2,2002,Simulation,Sony Computer Entertainment,0.1,0.29,0.23,0
G1 Jockey 3,PS2,2002,Sports,THQ,0.1,0.32,0.23,0
Monster Jam: Maximum Destruction,GBA,2002,Racing,Ubisoft,0.1,0.28,0.25,0
Hunter: The Reckoning,GC,2002,Action,Virgin Interactive,0.1,0.26,0.28,0
E·O·E: Eve of Extinction,PS2,2002,Fighting,Eidos Interactive,0.1,0.51,0.04,0
RLH: Run Like Hell,PS2,2002,Shooter,Virgin Interactive,0.1,0,0,0.56
Minority Report: Everybody Runs,GC,2002,Action,Activision,0.1,0,0,0.56
Beach Spikers: Virtua Beach Volleyball,GC,2002,Sports,Sega,0.1,0.32,0.12,0.11
Kelly Slater's Pro Surfer,XB,2002,Sports,Activision,0.1,0.37,0.16,0.01
Disney's The Jungle Book,GBA,2002,Platform,Ubisoft,0.1,0.27,0.27,0
Sneakers,XB,2002,Puzzle,Microsoft Game Studios,0.1,0.33,0.23,0
Project FIFA World Cup,PS2,2002,Sports,Electronic Arts,0.1,0.31,0.23,0
Reign of Fire,XB,2002,Shooter,BAM! Entertainment,0.1,0.43,0.09,0.04
Ultimate Muscle - The Kinnikuman Legacy: The Path of the Superhero,GBA,2002,Fighting,Banpresto,0.1,0.11,0.13,0.33
Ballistic: Ecks vs. Sever,GBA,2002,Shooter,BAM! Entertainment,0.1,0.13,0.38,0
Steel Battalion,XB,2002,Simulation,Microsoft Game Studios,0.1,0,0,0.6
MX SuperFly featuring Ricky Carmichael,XB,2002,Racing,THQ,0.1,0.17,0.34,0
Minority Report: Everybody Runs,XB,2002,Action,Activision,0.1,0.31,0.23,0
Shox,PS2,2002,Racing,Electronic Arts,0.09,0.23,0.17,0.14
Whacked!,XB,2002,Misc,Microsoft Game Studios,0.09,0.56,0,0
Rocky,GC,2002,Fighting,Rage Software,0.09,0.22,0.24,0
NFL Blitz 20-02,XB,2002,Sports,Midway Games,0.09,0.31,0.19,0
Altered Beast: Guardian of the Realms,GBA,2002,Action,THQ,0.09,0.19,0.31,0
MotoGP,XB,2002,Racing,THQ,0.09,0.29,0.23,0
Freekstyle,GC,2002,Racing,Electronic Arts,0.09,0,0,0.6
The Revenge of Shinobi,GBA,2002,Platform,Atari,0.09,0.49,0.03,0.03
Cabela's Big Game Hunter,GBA,2002,Sports,Activision Value,0.09,0.27,0.18,0.05
Bomberman Max 2: Blue Advance,GBA,2002,Puzzle,Vivendi Games,0.09,0.33,0.02,0.21
New Legends,XB,2002,Action,THQ,0.09,0.33,0.21,0
Island Xtreme Stunts,PS2,2002,Action,Electronic Arts,0.09,0.29,0.23,0
MX SuperFly featuring Ricky Carmichael,GC,2002,Racing,THQ,0.09,0.34,0.2,0
NASCAR: Dirt to Daytona,GC,2002,Racing,Infogrames,0.09,0,0,0.59
Road Trip,PS2,2002,Racing,Play It,0.09,0.08,0.35,0.05
Top Gun: Firestorm Advance,GBA,2002,Shooter,Titus,0.09,0,0,0.56
Jikkyou Powerful Pro Yakyuu 9 Ketteiban,PS2,2002,Sports,Konami Digital Entertainment,0.09,0.34,0.2,0
Mystic Heroes,GC,2002,Action,Tecmo Koei,0.09,0.38,0.14,0
Defender,XB,2002,Misc,Midway Games,0.09,0.33,0.22,0
Captain Tsubasa: Aratanaru Densetsu Joshou,PS,2002,Sports,Konami Digital Entertainment,0.09,0.33,0.22,0
Transworld Snowboarding,XB,2002,Sports,Atari,0.09,0.46,0.12,0
NFL Blitz 20-02,GC,2002,Sports,Midway Games,0.09,0,0.53,0
Crimson Sea,XB,2002,Action,Tecmo Koei,0.09,0.33,0.22,0
Jimmy Neutron: Boy Genius,GC,2002,Platform,THQ,0.09,0,0,0.55
Savage Skies,PS2,2002,Shooter,Big Ben Interactive,0.09,0.29,0.23,0
Million God,PS2,2002,Misc,Nippon Amuse,0.09,0.4,0.12,0
Age of Mythology,PC,2002,Strategy,Microsoft Game Studios,0.09,0,0,0.59
Prisoner of War,XB,2002,Adventure,Atari,0.08,0.55,0.03,0
Bomberman Jetters,GC,2002,Puzzle,Hudson Soft,0.08,0.21,0.17,0.16
Tokimeki Memorial: Girl's Side,PS2,2002,Adventure,Konami Digital Entertainment,0.08,0.44,0.13,0
LEGO Soccer Mania,PS2,2002,Sports,Electronic Arts,0.08,0.46,0.12,0
Grand Prix Challenge,PS2,2002,Racing,Atari,0.08,0.55,0.03,0
Swingerz Golf,GC,2002,Sports,Eidos Interactive,0.08,0.15,0.38,0
FIFA Soccer 2003,GC,2002,Sports,Electronic Arts,0.08,0.25,0,0.31
Outlaw Golf,GC,2002,Sports,TDK Mediactive,0.08,0.32,0.22,0
Smuggler's Run: Warzones,GC,2002,Misc,Take-Two Interactive,0.08,0.47,0.11,0
Tony Hawk's Pro Skater 3,N64,2002,Sports,Activision,0.08,0.47,0.11,0
The King of Fighters EX2: Howling Blood,GBA,2002,Fighting,Marvelous Interactive,0.08,0.15,0.34,0
Fireblade,XB,2002,Action,Midway Games,0.08,0.54,0,0
Taz Wanted,GC,2002,Platform,Atari,0.08,0.36,0.08,0.14
Evolution Worlds,GC,2002,Role-Playing,Ubisoft,0.08,0,0,0.59
Sub Rebellion,PS2,2002,Simulation,Metro 3D,0.08,0.13,0.22,0.01
LEGO Soccer Mania,GBA,2002,Sports,Electronic Arts,0.08,0.38,0.17,0
Ultimate Fighting Championship: Throwdown,GC,2002,Fighting,Ubisoft,0.08,0.25,0.27,0
Endgame,PS2,2002,Shooter,Empire Interactive,0.08,0.33,0.22,0
Momotarou Dentetsu 11,GC,2002,Misc,Hudson Soft,0.08,0.17,0.27,0.05
NHL Hitz 20-03,GC,2002,Sports,Midway Games,0.08,0.54,0,0.01
Frogger Beyond,XB,2002,Platform,Konami Digital Entertainment,0.08,0.31,0.22,0
GT Advance 3: Pro Concept Racing,GBA,2002,Racing,THQ,0.08,0.29,0.22,0
P.T.O. IV: Pacific Theater of Operations,PS2,2002,Strategy,Tecmo Koei,0.08,0.14,0.12,0.27
Medal of Honor: Underground,GBA,2002,Shooter,Zoo Digital Publishing,0.08,0.34,0.13,0.11
Driven,GC,2002,Racing,BAM! Entertainment,0.08,0.29,0.22,0
Dynasty Warriors 3,XB,2002,Action,THQ,0.08,0.35,0.13,0
Magic Pengel: The Quest for Color,PS2,2002,Role-Playing,Taito,0.07,0.24,0.28,0
Super Ghouls 'n Ghosts,GBA,2002,Platform,Capcom,0.07,0,0,0.59
Bomberman Max 2: Red Advance,GBA,2002,Puzzle,Vivendi Games,0.07,0.17,0.18,0.2
Godai: Elemental Force,PS2,2002,Action,3DO,0.07,0.3,0.22,0
Aero Elite: Combat Academy,PS2,2002,Simulation,Sega,0.07,0.29,0.21,0
Commandos 2: Men of Courage,XB,2002,Strategy,Eidos Interactive,0.07,0.22,0.17,0.14
Maximum Chase,XB,2002,Racing,Microsoft Game Studios,0.07,0.25,0.25,0
Circus Maximus: Chariot Wars,XB,2002,Racing,THQ,0.07,0.29,0.22,0
James Cameron's Dark Angel,XB,2002,Action,Vivendi Games,0.07,0.39,0.02,0.13
NCAA College Football 2K3,GC,2002,Sports,Sega,0.07,0.21,0.23,0
Galerians: Ash,PS2,2002,Adventure,Sammy Corporation,0.07,0.39,0.13,0.02
Disney Sports Skateboarding,GBA,2002,Sports,Konami Digital Entertainment,0.07,0,0,0.55
Loons: The Fight For Fame,XB,2002,Action,Atari,0.07,0.29,0.19,0.07
Totaled!,XB,2002,Racing,Rage Software,0.07,0.55,0.03,0
Taz Wanted,XB,2002,Platform,Atari,0.07,0.06,0.04,0.47
Robot Alchemic Drive,PS2,2002,Action,Enix Corporation,0.07,0.18,0.34,0
Hikaru no Go: Heian Gensou Ibunroku,PS,2002,Adventure,Konami Digital Entertainment,0.07,0.15,0.37,0
Fighter Maker 2,PS2,2002,Fighting,Enterbrain,0.07,0.36,0.17,0
Judie no Atelier: Guramnat no Renkinjutsushi,PS2,2002,Role-Playing,Gust,0.07,0.49,0.02,0
The Powerpuff Girls: Relish Rampage,GC,2002,Action,BAM! Entertainment,0.07,0.5,0.04,0
Sega Soccer Slam,GC,2002,Sports,Sega,0.07,0.31,0.23,0
Nichibeikan Pro Yakyuu: Final League,PS2,2002,Sports,SquareSoft,0.07,0.54,0,0
Legends of Wrestling II,GBA,2002,Fighting,Acclaim Entertainment,0.07,0.2,0.33,0
RedCard 20-03,PS2,2002,Sports,Midway Games,0.07,0.54,0,0
Frogger Advance: The Great Quest,GBA,2002,Action,Konami Digital Entertainment,0.07,0.55,0,0
Desert Strike Advance,GBA,2002,Simulation,Electronic Arts,0.06,0.38,0.15,0
Pirates: The Legend of Black Kat,XB,2002,Adventure,Electronic Arts,0.06,0.38,0.15,0
BMX XXX,GC,2002,Sports,Acclaim Entertainment,0.06,0.32,0.22,0
Aggressive Inline,XB,2002,Sports,Acclaim Entertainment,0.06,0.38,0.15,0
Kururin Paradise,GBA,2002,Puzzle,Unknown,0.06,0.28,0.22,0
Cel Damage,GC,2002,Racing,Electronic Arts,0.06,0.31,0.21,0
The Pinball of the Dead,GBA,2002,Misc,Sega,0.06,0.31,0.19,0.02
Deathrow: Underground Team Combat,XB,2002,Sports,Ubisoft,0.06,0.22,0.24,0.04
Mystic Heroes,PS2,2002,Action,Tecmo Koei,0.06,0.28,0,0.27
There,PS,2002,Simulation,Infogrames,0.06,0.53,0,0
Bubble Bobble: Old & New,GBA,2002,Puzzle,Empire Interactive,0.06,0.06,0.3,0.19
Metal Gear Solid: Social Ops,PS2,2002,Action,Konami Digital Entertainment,0.06,0.15,0.39,0
Salt Lake 2002,GBA,2002,Sports,Ubisoft,0.06,0.14,0.4,0
Disney Sports Skateboarding,GC,2002,Sports,Konami Digital Entertainment,0.06,0.36,0.15,0
Worms Blast,GC,2002,Puzzle,Ubisoft,0.06,0.28,0.22,0
Guilty Gear X: Advance Edition,GBA,2002,Fighting,Sammy Corporation,0.06,0.28,0.22,0
Klonoa Beach Volleyball,PS,2002,Sports,Namco Bandai Games,0.06,0.23,0.16,0.16
Broken Sword: The Shadow of the Templars,GBA,2002,Adventure,BAM! Entertainment,0.06,0,0,0.54
Kelly Slater's Pro Surfer,GC,2002,Sports,Activision,0.06,0.33,0.22,0
Myst III: Exile,XB,2002,Adventure,Ubisoft,0.06,0.28,0.22,0
Fatal Frame,XB,2002,Action,Tecmo Koei,0.06,0.32,0.22,0
Eikan wa Kimini 2002: Koshien no Kodou,PS2,2002,Sports,DigiCube,0.06,0.42,0.15,0
Aggressive Inline,GC,2002,Sports,Acclaim Entertainment,0.06,0.14,0.37,0
Wreckless: ThE YaKuza MisSiOns,GC,2002,Racing,Activision,0.06,0.05,0.02,0.5
Dr. Muto,XB,2002,Platform,Midway Games,0.06,0.28,0.22,0
MotoGP,GBA,2002,Racing,THQ,0.06,0.32,0.22,0
ESPN International Winter Sports 2002,PS2,2002,Sports,Konami Digital Entertainment,0.06,0,0,0.58
BattleBots: Beyond the BattleBox,GBA,2002,Action,Vivendi Games,0.06,0.22,0.1,0.23
V-Rally 3,PS2,2002,Racing,Atari,0.06,0.14,0.34,0
SeaBlade,XB,2002,Shooter,TDK Mediactive,0.06,0,0,0.58
Worms World Party,GBA,2002,Strategy,Ubisoft,0.05,0.16,0.32,0.02
Medabots: Metabee,GBA,2002,Role-Playing,Natsume,0.05,0.32,0.22,0
Bombastic,PS2,2002,Puzzle,Capcom,0.05,0.45,0.12,0
Dual Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment,0.05,0.52,0.02,0
Sega Soccer Slam,XB,2002,Sports,Sega,0.05,0.28,0.22,0
Blood Omen 2,GC,2002,Action,Eidos Interactive,0.05,0.48,0.02,0
FIFA Soccer 2003,GBA,2002,Sports,Electronic Arts,0.05,0.32,0.22,0
Lufia: The Ruins of Lore,GBA,2002,Role-Playing,Taito,0.05,0.55,0.02,0
Samurai Deeper Kyo,PS,2002,Fighting,Namco Bandai Games,0.05,0.5,0.03,0
Zapper: One Wicked Cricket!,XB,2002,Platform,Infogrames,0.05,0.1,0.2,0.22
Bust-A-Bloc,PS2,2002,Puzzle,Midas Interactive Entertainment,0.05,0.07,0.44,0
Dragon's Lair 3D: Return to the Lair,XB,2002,Platform,Ubisoft,0.05,0.53,0.02,0
Virtua Striker 2002,GC,2002,Sports,Sega,0.05,0.28,0.22,0
Disney's PK: Out of the Shadows,GC,2002,Platform,Ubisoft,0.05,0.35,0.18,0
Rally Fusion: Race of Champions,XB,2002,Racing,Activision,0.05,0.24,0.16,0.13
Ferrari F355 Challenge,PS2,2002,Racing,Sony Computer Entertainment,0.05,0.32,0.24,0
Shifters,PS2,2002,Adventure,3DO,0.05,0.28,0.22,0
Downforce,PS2,2002,Racing,Avalon Interactive,0.05,0.41,0.15,0
Disney's Party,GC,2002,Misc,Electronic Arts,0.05,0.53,0,0
Phantom Crash,XB,2002,Simulation,Phantagram,0.05,0,0,0.57
